email,politeness_formality,emotional_tone,clarity_constructiveness
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.12,0.01,0.2
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.87,1.0,0.93
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.33,0.02,0.37
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.41,0.33,0.39
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.73,0.54,0.58
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.63,0.98,0.96
Thanks again for your quick response. Your help is much appreciated!,0.86,0.81,1.0
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.7,0.39,0.74
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.98,0.43,1.0
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.9,0.42,1.0
Thanks again for your quick response. Your help is much appreciated!,1.0,0.95,0.89
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.65,0.4,0.92
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.84,0.24,0.8
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",1.0,0.57,1.0
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.3,0.22,0.54
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.84,0.4,0.69
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,1.0,0.68
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.58,0.0,0.6
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.72,0.8,1.0
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.66,0.28,0.37
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.81,0.4,0.78
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.93,0.66,0.88
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.33,0.18,0.35
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.39,0.61,0.93
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.48,0.32,0.45
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.84,0.8,0.82
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.57,0.15,0.29
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.74,0.4,0.68
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.81,0.3,0.73
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.84,0.31,0.84
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.52,0.31,1.0
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.63,0.58,0.65
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.85,0.93,0.77
Thanks again for your quick response. Your help is much appreciated!,0.94,1.0,0.95
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.72,0.75,0.6
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.87,0.41,0.66
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.63,0.91,0.81
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.61,0.16,0.33
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.32,0.22,0.35
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.58,0.09,0.38
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.43,0.0,0.54
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.58,0.46,0.3
Thanks again for your quick response. Your help is much appreciated!,0.79,1.0,0.95
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.79,1.0,0.95
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.52,0.45,0.95
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.4,1.0
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.97,0.71,0.89
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.83,0.5,0.5
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.31,0.1,0.77
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.76,0.29,0.28
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,0.89,0.88
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.27,0.33,0.68
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.8,0.74,0.9
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.51,0.4,0.66
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.35,0.2,0.13
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.91,0.29,0.75
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.47,0.08,0.66
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.15,0.0,0.3
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.47,0.13,0.27
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.6,0.24,0.52
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.37,0.35,0.49
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.89,0.79,0.33
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.72,0.6,0.72
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.72,0.57,0.94
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.94,0.94,1.0
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.38,0.25,0.48
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.98,0.7,0.74
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.86,1.0,0.74
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.48,0.1,0.28
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.1,0.16,0.71
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.79,0.3,0.49
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.96,0.41,0.83
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.26,0.0,0.26
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.2,0.34,0.2
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.87,0.55,0.94
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.62,0.49,0.79
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.78,0.56,0.61
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.09,0.0,0.19
Thanks again for your quick response. Your help is much appreciated!,0.78,1.0,0.74
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.14,0.22,0.4
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.6,0.54,0.69
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.75,0.31,0.72
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.88,0.62,0.52
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.74,0.49,0.68
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.58,0.22,0.35
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.32,0.26,0.49
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.56,0.41,0.43
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.72,0.35,0.69
Thanks again for your quick response. Your help is much appreciated!,1.0,0.88,0.83
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.79,0.39,0.38
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.82,0.49,1.0
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.96,0.53,1.0
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.99,0.64,1.0
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.77,0.94
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.48,0.22,0.4
Thanks again for your quick response. Your help is much appreciated!,1.0,0.9,0.63
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.54,0.49,0.3
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.85,0.74,0.69
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.66,0.34,0.66
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.3,0.39,0.45
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.65,0.31,0.46
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,0.97,0.9
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.47,0.78
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.41,0.53,0.8
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.86,0.62,0.78
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.5,0.5,0.71
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",1.0,0.41,0.79
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.74,0.89
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.55,0.3,0.38
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.77,0.24,0.7
Thanks again for your quick response. Your help is much appreciated!,1.0,1.0,0.72
Thanks again for your quick response. Your help is much appreciated!,1.0,0.68,0.89
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.69,0.84,0.93
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,1.0,0.55,0.9
Thanks again for your quick response. Your help is much appreciated!,1.0,0.95,1.0
Thanks again for your quick response. Your help is much appreciated!,1.0,0.86,0.55
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.87,0.77,0.83
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.92,1.0,0.89
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.96,0.17,0.46
