text,label
This is to inform you that the budget has been approved.,inform
I wanted to follow up on my previous email.,follow-up
Any updates on the issue I raised on Monday?,follow-up
We’re launching the new dashboard next Monday.,inform
I'm reaching out to ask for your input on the proposal.,request
I wanted to follow up on my previous email.,follow-up
Would you be able to finalize the presentation today?,request
I'm reaching out to ask for your input on the proposal.,request
We’ve finalized the agenda for the upcoming retreat.,inform
The quarterly review summary is now available.,inform
Would you be able to finalize the presentation today?,request
Just an update: all items have been ordered.,inform
Just an update: all items have been ordered.,inform
The quarterly review summary is now available.,inform
Would you be able to finalize the presentation today?,request
Any updates on the issue I raised on Monday?,follow-up
Can you help me schedule a meeting for next week?,request
The performance metrics are now published on the portal.,inform
This is to inform you that the budget has been approved.,inform
I wanted to follow up on my previous email.,follow-up
Our team completed the migration process yesterday.,inform
Just an update: all items have been ordered.,inform
We’ve finalized the agenda for the upcoming retreat.,inform
Please provide the budget estimates as soon as possible.,request
Can you help me schedule a meeting for next week?,request
Our team completed the migration process yesterday.,inform
Could you share the client list from last quarter?,request
Can you review the attached contract and provide comments?,request
Please note that the system will be under maintenance tonight.,inform
We’ve finalized the agenda for the upcoming retreat.,inform
This is to inform you that the budget has been approved.,inform
Any updates on the issue I raised on Monday?,follow-up
I wanted to let you know that the client signed the contract.,inform
Our team completed the migration process yesterday.,inform
Have you had a chance to look at the draft I sent?,follow-up
Can you help me schedule a meeting for next week?,request
Can you review the attached contract and provide comments?,request
Just an update: all items have been ordered.,inform
Just a quick follow-up on the training session.,follow-up
Let me know if you can take on this task.,request
We’re launching the new dashboard next Monday.,inform
Wanted to remind you about the deadline approaching.,follow-up
Let me know if you can take on this task.,request
Let me know if you can take on this task.,request
Wanted to remind you about the deadline approaching.,follow-up
Any updates on the issue I raised on Monday?,follow-up
I'm requesting your feedback on the document attached.,request
Please note that the system will be under maintenance tonight.,inform
Can you review the attached contract and provide comments?,request
Just checking in on the task we discussed last week.,follow-up
Could you share the client list from last quarter?,request
Just checking in on the task we discussed last week.,follow-up
Would you be able to finalize the presentation today?,request
Any updates on the issue I raised on Monday?,follow-up
Just an update: all items have been ordered.,inform
Hoping to get a status update on the pending item.,follow-up
Would you be able to finalize the presentation today?,request
Any updates on the issue I raised on Monday?,follow-up
Following up to see if you're available for a quick call.,follow-up
This is to inform you that the budget has been approved.,inform
Can you review the attached contract and provide comments?,request
We’ve finalized the agenda for the upcoming retreat.,inform
We’ve finalized the agenda for the upcoming retreat.,inform
We’re launching the new dashboard next Monday.,inform
Please provide the budget estimates as soon as possible.,request
Would you be able to finalize the presentation today?,request
Let me know if you can take on this task.,request
The meeting has been rescheduled to 3 PM.,inform
Just a quick follow-up on the training session.,follow-up
Please provide the budget estimates as soon as possible.,request
I'm reaching out to ask for your input on the proposal.,request
Hoping to get a status update on the pending item.,follow-up
I'm reaching out to ask for your input on the proposal.,request
Let me know if you can take on this task.,request
Just an update: all items have been ordered.,inform
The performance metrics are now published on the portal.,inform
The performance metrics are now published on the portal.,inform
